sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2024 Wolf Chart?,Official Tree?,Book?,notes
0088,88,?,b,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,June ,N/A, Unknown,,,,Yes,Yes,
0089,89,?,b,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,June ,N/A, Unknown,,,,Yes,Yes,
0090,90,?,?,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,June ,N/A, Unknown,,,,Yes,Yes,
0091,91,F,g,1997,April,Nez Perce,37F,29M,"Nez Perce Pen, YNP",Nez Perce,-,1997,N/A,May ,Natural,"Nez Perce Pen, YNP",,,,Yes,Yes,
0092,92,M,g,1997,April,Nez Perce,37F,29M,"Nez Perce Pen, YNP",Nez Perce,-,2001,N/A,January 13,Natural,Southwestern YNP,,,,Yes,Yes,
0093,93,M,g,1997,April,Nez Perce,37F,29M,"Nez Perce Pen, YNP",None,-,N/A,1998,May ,N/A, Unknown,,,,Yes,Yes,
0094,94,M,g,1997,April,Nez Perce,37F,29M,"Nez Perce Pen, YNP",None,-,N/A,1998,May ,N/A, Unknown,,,,Yes,Yes,
0095,95,F,g,1997,April 12,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0096,96,F,g,1997,April 12,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0097,97,?,g,1997,April 12,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0098,98,?,b,1997,April 12,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,1998,May ,N/A, Unknown,,,,Yes,Yes,
0099,99,?,b,1997,April 12,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0100,100,?,?,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,June ,N/A, Unknown,,,,Yes,Yes,
0101,101,?,?,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,Unknown,N/A, Unknown,,,,Yes,Yes,
0102,102,?,?,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,Unknown,N/A, Unknown,,,,Yes,Yes,
0103,103,F,b,1997,April,Druid Peak,41F,38M,"Lamar Valley, YNP",None,Agate Creek,2004,N/A,March 28,Vehicle,"Elk Creek, YNP",,,,Yes,Yes,
0104,104,M,b,1997,April,Druid Peak,42F,38M,"Lamar Valley, YNP",None,"Crystal Creek, Soda Butte",N/A,2001,May ,N/A, Unknown,,,,Yes,Yes,
0105,105,F,b,1997,April,Druid Peak,41F,38M,"Lamar Valley, YNP",Slough Creek,-,2003,N/A,May 6,Wolf (Rose Creek),"Absaroka-Beartooth Wilderness, N. of YNP",,,,Yes,Yes,
0106,106,F,g,1997,April,Druid Peak,41F,38M,"Lamar Valley, YNP",None,Geode Creek,N/A,2005,Unknown,N/A, Unknown,,,,Yes,Yes,
0107,107,?,g,1997,April,Druid Peak,42F(?),38M,"Lamar Valley, YNP",Druid Peak,-,N/A,1998,Unknown,N/A, Unknown,,,,Yes,Yes,
0108,108,M,b,1997,April,Chief Joseph,16F,34M,"Southern Gallatin Mountains, Northwest YNP",Sheep Mountain,-,1997,N/A,September ,Vehicle,"Highway 191, Western Edge of YNP",,,,Yes,Yes,
0109,109,?,b,1997,April,Chief Joseph,16F,34M,"Southern Gallatin Mountains, Northwest YNP",Sheep Mountain,-,N/A,1998,May 21,N/A, Unknown,,,,Yes,Yes,
0110,110,?,g,1997,April,Chief Joseph,16F,34M,"Southern Gallatin Mountains, Northwest YNP",Sheep Mountain,-,1997,N/A,December 16,Unknown,"Near Highway 191, Western Edge of YNP",,,,Yes,Yes,
0111,111,F,g,1997,April,Chief Joseph,16F,34M,"Southern Gallatin Mountains, Northwest YNP",Sheep Mountain,-,1998,N/A,May 21,Unknown (Disease?), Unknown,,,,Yes,Yes,
0112,112,?,g,1997,April,Chief Joseph,16F,34M,"Southern Gallatin Mountains, Northwest YNP",Sheep Mountain,-,1997,N/A,December 16,Unknown,"Near Highway 191, Western Edge of YNP",,,,Yes,Yes,
0113,113,M,g,1997,April,Chief Joseph,17F,34M,"Southern Gallatin Mountains, Northwest YNP",Agate Creek,-,2007,N/A,October ,Natural (Old Age),"Agate Creek Territory, YNP",,,,Yes,Yes,
0114,114,?,g,1997,April,Chief Joseph,17F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1999,April 30,N/A, Unknown,,,,Yes,Yes,
