sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2024 Wolf Chart?,Official Tree?,Book?,notes
1382,1382,F,b,2016,April,Junction Butte,907F (969F?),890M,"Slough Creek Area, YNP",Junction Butte,-,2023,N/A,September 11,Natural (Elk or Bison),"Lamar Valley, YNP",Uncollared Black Female,,,Yes,Yes,
1383,1383,F,b,2021,?,Junction Butte,?,?,Location Unknown,Junction Butte,-,2023,N/A,July 7,Wolf,unknown,,,,No,No,
1384,1384,F,g,2021,?,Junction Butte,?,?,Location Unknown,None,-,Living,Living,Living,Living,Living,,,x,No,No,In a group with 4 others
1385,1385,F,b,2022,?,Junction Butte,?,?,Location Unknown,Junction Butte,-,Living,Living,Living,Living,Living,,,x,No,No,
1386,1386,F,b,2020?,?,Junction Butte,?,?,Location Unknown,Junction Butte,None,Living,Living,Living,Living,Living,,,x,No,No,
1387,1387,M,b,2022,?,Lupine Creek,?,?,Location Unknown,Lupine Creek,-,2023,N/A,Spring,Legally Killed,"southwest of Dillon, Montana",,,,No,No,
1388,1388,F,g,2022,?,Lupine Creek,?,?,Location Unknown,Lupine Creek,-,Living,Living,Living,Living,Living,,,,No,No,
1389,1389,F,g,2021,?,8-Mile,?,?,Location Unknown,8-Mile,-,Living,Living,Living,Living,Living,,,x,No,No,
1390,1390,M,g,2021,?,8-Mile,?,?,Location Unknown,8-Mile,-,Living,Living,Living,Living,Living,,,,No,No,
1391,1391,F,g,2022,?,Rescue Creek,?,?,Location Unknown,Rescue Creek,-,2023,N/A,March 5,Wolf,unknown,,,,No,No,
1392,1392,M,b,2022,?,Rescue Creek,?,?,Location Unknown,Rescue Creek,-,Living,Living,Living,Living,Living,,,x,No,No,
1393,1393,M,b,2020?,?,Junction Butte,?,?,Location Unknown,Rescue Creek,-,Living,Living,Living,Living,Living,,,x,No,No,
1394,1394,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1395,1395,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1396,1396,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1397,1397,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1398,1398,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1399,1399,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1400,1400,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1401,1401,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1402,1402,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1403,1403,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1404,1404,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1405,1405,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1406,1406,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1407,1407,M,b,2020?,?,Beartooth?,?,?,Location Unknown,None,Willow Creek,Living,Living,Living,Living,Living,,,x,No,No,
1408,1408,F,g,2022,?,Willow Creek,?,?,Location Unknown,Willow Creek,-,Living,Living,Living,Living,Living,,,x,No,No,
1409,1409,M,b,2020?,?,8-Mile,?,?,Location Unknown,Wapiti Lake,-,Living,Living,Living,Living,Living,,,x,No,No,
1410,1410,F,b,2021,?,Mollie's,?,?,Location Unknown,Mollie's,-,Living,Living,Living,Living,Living,,,x,No,No,
1411,1411,F,b,2022,?,Mollie's,1090?,?,Location Unknown,None*,-,Living,Living,Living,Living,Living,,,x,No,No,Loner in the 2023 Wolf Report but listed as a Mollie's wolf on the 2024 Wolf Chart
1412,1412,F,b,2022,?,Cougar Creek,?,?,Location Unknown,Cougar Creek,-,Living,Living,Living,Living,Living,,,,No,No,
1413,1413,M,b,2022,?,Cougar Creek,?,?,Location Unknown,Cougar Creek,-,Living,Living,Living,Living,Living,,,,No,No,
1414,1414,F,b,2022,?,Cougar Creek,?,?,Location Unknown,Cougar Creek,-,Living,Living,Living,Living,Living,,,x,No,No,
1415,1415,M,b,2022,?,Cougar Creek,?,?,Location Unknown,Cougar Creek,-,2023,N/A,June 5,Natural (Elk or Bison),unknown,,,,No,No,
1416,1416,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1417,1417,M,b,2020?,?,Beartooth,?,?,Location Unknown,Willow Creek,-,Living,Living,Living,Living,Living,,,x,No,No,
1418,1418,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1419,1419,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1420,1420,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1421,1421,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1422,1422,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1423,1423,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1424,1424,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1425,1425,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1426,1426,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1427,1427,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1428,1428,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1429,1429,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1430,1430,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1431,1431,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1432,1432,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1433,1433,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1434,1434,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1435,1435,M,g,2022,?,Hawk's Rest?,?,?,Location Unknown,?,Hawk's Rest?,Living*,Living*,Living*,Living*,Living*,,,,No,No,"temporarily part of 1386's group, possibly killed"
1436,1436,F,g,2022,?,Hawk's Rest?,?,?,Location Unknown,?,Hawk's Rest?,Living,Living,Living,Living,Living,,,,No,No,temporarily part of 1386's group
1437,1437,M,g,2020?,?,?,?,?,Location Unknown,None,Hawk's Rest,Living,Living,Living,Living,Living,,,,No,No,temporarily part of 1386's group
1438,1438,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1439,1439,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1440,1440,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1441,1441,M,b,2020*,?,Beartooth?,?,?,Location Unknown,Willow Creek,-,Living,Living,Living,Living,Living,,,x,No,No,
1442,1442,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1443,1443,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1444,1444,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1445,1445,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1446,1446,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1447,1447,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1448,1448,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1449,1449,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1450,1450,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1451,1451,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1452,1452,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1453,1453,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1454,1454,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1455,1455,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1456,1456,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1457,1457,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1458,1458,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1459,1459,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1460,1460,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1461,1461,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1462,1462,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1463,1463,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1464,1464,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1465,1465,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1466,1466,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1467,1467,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1468,1468,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1469,1469,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1470,1470,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1471,1471,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1472,1472,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1473,1473,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1474,1474,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1475,1475,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1476,1476,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
1477,1477,F,b,2022*,?,Junction Butte,?,?,Location Unknown,Junction Butte,-,Living,Living,Living,Living,Living,,,x,No,No,
1478,1478,F,g,2022,April,Junction Butte,907,JAM,Location Unknown,Junction Butte,-,Living,Living,Living,Living,Living,,,x,Yes,No,
1479,1479,F,b,2023,April,Junction Butte,907,JAM,Location Unknown,Junction Butte,-,Living,Living,Living,Living,Living,,,x,Yes,No,
1480,1480,F,b,2020*,?,Cougar Creek,?,?,Location Unknown,Cougar Creek,-,Living,Living,Living,Living,Living,,,x,No,No,
1481,1481,M,b,2022?,?,Cougar Creek,?,?,Location Unknown,Cougar Creek,-,Living,Living,Living,Living,Living,,,x,No,No,
1482,1482,M,b,2021?,?,?,?,?,Location Unknown,Cougar Creek,-,Living,Living,Living,Living,Living,,,x,No,No,
1483,1483,M,g,2022*,?,Junction Butte,?,?,Location Unknown,Mollie's,-,Living,Living,Living,Living,Living,,,x,No,No,
1484,1484,M,g,2022*,?,Rescue Creek,?,?,Location Unknown,Rescue Creek,-,Living,Living,Living,Living,Living,,,x,No,No,
1485,1485,M,g,2022*,?,Junction Butte,?,?,Location Unknown,Mollie's,-,Living,Living,Living,Living,Living,,,x,No,No,
1486,1486,M,b,2023*,?,Wapiti Lake,?,?,Location Unknown,Wapiti Lake,-,Living,Living,Living,Living,Living,,,x,No,No,
1487,1487,F,b,2022,April,Shrimp Lake,    1228,?,"Lamar Valley, YNP",Shrimp Lake,-,Living,Living,Living,Living,Living,Black Female - Shrimp Lake,,x,Yes,No,
1488,1488,M,g,2019?,?,?,?,?,Location Unknown,Shrimp Lake,-,Living,Living,Living,Living,Living,Gray Alpha Male Shrimp Lake,,x,Yes,No,
1489,1489,M,b,2023*,?,Rescue Creek,?,?,Location Unknown,Rescue Creek,-,Living,Living,Living,Living,Living,,,x,No,No,
1490,1490,F,b,2020?*,?,8-Mile,?,?,Location Unknown,Rescue Creek,-,Living,Living,Living,Living,Living,,,x,No,No,Possibly Black Female Rescue Creek
1491,1491,F,b,2023*,?,8-Mile,?,?,Location Unknown,8-Mile,-,Living,Living,Living,Living,Living,,,x,No,No,
1492,1492,M,g,2023*,?,8-Mile,?,?,Location Unknown,8-Mile,-,Living,Living,Living,Living,Living,,,x,No,No,
1493,1493,M,g,2023*,?,8-Mile,?,?,Location Unknown,8-Mile,-,Living,Living,Living,Living,Living,,,x,No,No,
1494,1494,F,g,2022*,?,8-Mile,?,?,Location Unknown,8-Mile,-,Living,Living,Living,Living,Living,,,x,No,No,
1495,1495,F,g,2023*,?,8-Mile,?,?,Location Unknown,8-Mile,-,Living,Living,Living,Living,Living,,,x,No,No,
1496,BSA,F,b,2000?,?,?,?,?,Location Unknown,Bechler,-,N/A,2008,unknown,N/A,"Bechler Area, Southwestern YNP",Black & Silver Alpha Female,,,Yes,No,
1497,Y250,M,g,1998?,?,?,?,?,Location Unknown,Taylor Peak,-,N/A,2002,unknown,N/A,Unknown,,,,No,Yes,
1498,HB,M,b,2001,April,Druid Peak,42F,21M,"Lamar Valley, YNP",Druid Peak,-,N/A,2003,unknown,N/A,Unknown,Half- Black,,,Yes,Yes,
1499,BF SC,F,b,2001?,?,Druid Peak?,?,?,Location Unknown,Slough Creek,-,N/A,2005,unknown,N/A,Unknown,Black Female Slough Creek,,,Yes,Yes,
1500,BM,M,b,2004?,?,?,?,?,Location Unknown,None,-,N/A,2006,unknown,N/A,unknown,Black Male,,,Yes,No,
1501,CaAF,F,g,2005,April,Hayden Valley,540F,541M,"Hayden Valley Area, YNP",Canyon ,-,2017,N/A,April 11,Illegally Killed,"North Entrance Area, YNP",Canyon Alpha Female,,,Yes,Yes,
1502,SAM,M,g,2005?,?,?,?,?,Location Unknown,None,Silver,N/A,2010,unknown,N/A,Unknown,Silver Alpha Male,,,Yes,Yes,
1503,Hook,F,b,2006?,?,Slough Creek?,380F? or Black Female?,490M?,Location Unknown,Slough Creek,-,N/A,2009,unknown,N/A,Unknown,,,,Yes,Yes,
1504,SAF,F,g,2007?,?,?,?,?,Location Unknown,None,Silver,N/A,2010,unknown,N/A,Unknown,Silver Alpha Female,,,Yes,Yes,
1505,sw147,M,b,2007?,?,Agate Creek,472F,113M,"Antelope Creek Area, YNP",Silver,Lava Creek,2010,N/A,October 31,Wolf,Unknown,,,,Yes,Yes,
1506,Be F,F,g,2008,April,Bechler,Black and Silver Aplha Female,192M,Location Unknown,Bechler,-,N/A,2017,April,N/A,Unknown,Bechler Female,,,Yes,Yes,in tree as 'White Alpha Female - Bechler'
1507,WhAF,F,g,2008,April,Bechler,Black and Silver Aplha Female,192M," Bechler Area, Southwestern YNP",Bechler,-,N/A,2019,unknown,N/A,unknown,White Alpha Female,,,Yes,No,
1508,Triangle,M,b,2008,April,Druid Peak,569F,480M,"Soda Butte Creek, YNP",None,-,N/A,2010,unknown,N/A,Unknown,,,,Yes,Yes,
1509,RT,F,g,2009,April,Mollie's,486F,495M,"Pelican Valley, YNP",Junction Butte,-,N/A,2013,unknown,N/A,Unknown,Ragged- Tail,,,Yes,Yes,
1510,TS,F,g,2009,April,Quadrant Mountain,469F,695M,"Quadrant Mountain Area, YNP",Prospect Peak,8-Mile,N/A,2015,unknown,N/A,Unknown,Third Sister,,,Yes,Yes,
1511,WpAF,F,g,2010,April,Canyon,Canyon Alpha Female,712M,"Hayden Valley, YNP",Wapiti Lake,-,N/A,2021,September,N/A,"Hayden Valley Area, YNP",Wapiti Alpha Female,,,Yes,Yes,most likely died of old age
1512,MG,F,g,2010,April,Lamar Canyon,832F,755M,"Slough Creek Area, YNP",None,-,N/A,2013,November,N/A,Northeast YNP,Middle Gray,,,Yes,Yes,
1513,sw763,M,b,2010?,?,?,?,?,Location Unknown,Junction Butte,"8-Mile, Prospect Peak",N/A,2017,Febuary,N/A,"Little America, YNP",,,,Yes,Yes,
1514,Mottled,M,b,2012?,?,8-Mile?,?,?,Location Unknown,Lamar Canyon,Prospect Peak,N/A,2016,unknown,N/A,Unknown,,,,Yes,Yes,
1515,BAM CC,M,b,2012?,?,Cougar Creek,478F,689M,"Madison Valley Area, YNP",8-Mile,-,N/A,2019,unknown,N/A,Unknown,Black Alpha Male,,,Yes,Yes,
1516,CAF,F,b,2013,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2019,unknown,N/A,Unknown,Cougar Alpha Female,,,Yes,Yes,
1517,BAF,F,b,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2019,April,N/A,"Blacktail Deer Plateau, YNP",Black Alpha Female,,,No,Yes,same wolf as Brindle Alpha Female?
1518,BrAF,F,b,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2021,N/A,December 1,Legally Killed,Montana,Brindle Alpha Female,,,Yes,Yes,killed late 2021 or early 2022?
1519,Big T,F,b,2014,April,Lamar Canyon,926F,925M,"Lamar Valley, YNP",Lamar Canyon,-,N/A,2016,unknown,N/A,"Cottonwood Creek, YNP",,,,Yes,Yes,
1520,LG,M,g,2014,April,Lamar Canyon,926F,925M,"Lamar Valley, YNP",Prospect Peak?,-,N/A,2015,unknown,N/A,"Blacktail Deer Plateau, YNP",Little Gray,,,Yes,Yes,
1521,Little T,F,b,2014,April,Lamar Canyon,926F,925M,"Lamar Valley, YNP",Lamar Canyon,-,N/A,2020,January,N/A,Unknown,,,,Yes,Yes,
1522,UGF,F,g,2014?,?,?,?,?,Location Unknown,Prospect Peak,-,N/A,2018,unknown,N/A,Unknown,Uncollared Grey Female,,,Yes,Yes,
1523,SD,M,b,2015,April,Beartooth,?,?,Location Unknown,Lamar Canyon,-,N/A,2020,January,N/A,Unknown,Small Dot,,,Yes,Yes,
1524,JAM,M,b,2015,April,Prospect Peak,821F,sw763M,"Blacktail Deer Plateau, YNP",Junction Butte,-,N/A,2024,December,N/A,"Little America, YNP",Junction Butte Pack Alpha Male,,,Yes,No,Possibly killed by Rescue Creek Pack
1525,sw5023,F,g,2015?,?,?,?,?,Location Unknown,Cinnabar,-,N/A,2017,unknown,N/A, Unknown,,,,Yes,Yes,Monitored by Montana after moving out of park
1526,BF JB,F,b,2016,April,Junction Butte,907F (969F?),?,"Slough Creek, YNP",Junction Butte,-,N/A,2017,unknown,N/A,"Specimen Ridge, YNP",Black Female,,,No,Yes,
1527,UBM,M,b,2016,April,Prospect Peak,821F,sw763M,"Blacktail Deer Plateau, YNP",Junction Butte,-,Living,Living,Living,Living,Living,Uncollared Black Male,,x,Yes,Yes,Possibly Black Alpha Male Junction Butte
1528,BM CC,M,b,2016?,?,Pahaska or Hoodoo?,?,?,Location Unknown,None,-,N/A,2018,unknown,N/A,unknown,Black Male Cub Creek Group,,,Yes,No,
1529,BFY JB,F,b,2018,April,Junction Butte,907F,1047M,Location Unknown,Junction Butte,-,N/A,2018,unknown,N/A,Unknown,Black Female Yearling,,,No,Yes,
1530,BMY,M,b,2018,April,Junction Butte,907F,1047M,Location Unknown,Junction Butte,-,N/A,2018,unknown,N/A,Unknown,Black Male Yearling,,,No,Yes,
1531,GAM,M,g,2018,April,Junction Butte,907F(?),1047M(?),"Little America Area, North Central YNP",None,Rescue Creek,Living,Living,Living,Living,Living,Gray Alpha Male,,,Yes,No,
1532,GM,M,g,2018,April,Junction Butte,907F,1047M,Location Unknown,Junction Butte,-,N/A,2018,unknown,N/A,Unknown,Gray Male Yearling,,,No,Yes,
1533,Two Dot,?,b,2018,April,Lamar Canyon,Little T,Small Dot,"Lamar Valley, YNP",Lamar Canyon,-,N/A,2019,May,N/A,Unknown,,,,Yes,Yes,
1534,BF RC,F,b,2019,April,8 Mile,BrAF,1015M,"Blacktail Deer Plateau, YNP",Rescue Creek,-,Living,Living,Living,Living,Living,Black Female Rescue Creek,,x?,Yes,No,Possibly 1490
1535,M2101,M,g,2019?,?,?,?,?,Location Unknown,None,-,N/A,2021,unknown,N/A, NW Colorado,,,,Yes,No,
1536,BAM JB,M,b,2021?,?,?,?,?,Location Unknown,Junction Butte,-,Living,Living,Living,Living,Living,Black Alpha Male Junction Butte,,x?,Yes,No,Possibly Uncollared Black Male
1537,Y1,?,b,2015,April,8-Mile,909F,BAM CC,"Quadrant Mountain Area, YNP",8-Mile,-,2016,N/A,November 23,Legally Killed,"Jardine, Montana",Male Black Yearling,,,Yes,No,
1538,Y2,F,b,2016,April,Wapiti Lake,WpAF,755M,"Hayden Valley Area, YNP",Wapiti Lake,-,N/A,2016,unknown,N/A,unknown,Black Female Yearling Wapiti Lake,,,Yes,No,
1539,Y3,F,g,2016,April,Wapiti Lake,WpAF,755M,"Hayden Valley Area, YNP",Wapiti Lake,-,N/A,2016,unknown,N/A,unknown,Gray Female Yearling Wapiti Lake,,,Yes,No,
1540,Y4,F,g,2016,April,Wapiti Lake,WpAF,755M,"Hayden Valley Area, YNP",Wapiti Lake,-,N/A,2016,unknown,N/A,unknown,Gray Female Yearling Wapiti Lake,,,Yes,No,
1541,Y5,M,g,2016,April,Wapiti Lake,WpAF,755M,"Hayden Valley Area, YNP",Wapiti Lake,-,N/A,2016,unknown,N/A,unknown,Gray Male Yearling Wapiti Lake,,,Yes,No,
1542,Y6,?,g,2018,April,Mollie's,978F,890M,"Pelican Valley, YNP",Mollie's,-,N/A,2019,unknown,N/A,unknown,Gray Yearling Mollie's,,,Yes,No,
1543,Y7,?,g,2018,April,Mollie's,978F,890M,"Pelican Valley, YNP",Mollie's,-,N/A,2019,unknown,N/A,unknown,Gray Yearling Mollie's,,,Yes,No,
1544,Y8,?,b,2019,April,Junction Butte,1109F,1048M,"Specimen Ridge, YNP",Junction Butte,-,N/A,2020,unknown,N/A,unknown,Black Yearling Junction Butte,,,Yes,No,
1545,Y9,M,g,2022,April,Shrimp Lake,1228F,GAM SL,"Lamar Valley, YNP",Shrimp Lake,-,Living,Living,Living,Living,Living,Gray Male Yearling Shrimp Lake,,,Yes,No,
1546,Y10,F,b,2022,May,Shrimp Lake,1228F,GAM SL,"Lamar Valley, YNP",Shrimp Lake,-,Living,Living,Living,Living,Living,Black Female Yearling Shrimp Lake,,,Yes,No,
1547,P7342,?,g,2000,April,Chief Joseph,33F,34M,"Cinnabar Basin, Montana, USA",Chief Joseph,-,N/A,2000,unknown,N/A,unknown,Pup?g7342,,,Yes,No,
1548,P7343,?,g,2000,April,Chief Joseph,33F,34M,"Cinnabar Basin, Montana, USA",Chief Joseph,-,N/A,2000,unknown,N/A,unknown,Pup?g7343,,,Yes,No,
1549,P7344,?,g,2000,April,Chief Joseph,33F,34M,"Cinnabar Basin, Montana, USA",Chief Joseph,-,N/A,2000,unknown,N/A,unknown,Pup?g7344,,,Yes,No,
1550,P7418,?,b,2000,April,Chief Joseph,33F,34M,"Cinnabar Basin, Montana, USA",Chief Joseph,-,N/A,2000,unknown,N/A,unknown,Pup?b7418,,,Yes,No,
1551,P7419,?,b,2000,April,Chief Joseph,33F,34M,"Cinnabar Basin, Montana, USA",Chief Joseph,-,N/A,2000,unknown,N/A,unknown,Pup?b7419,,,Yes,No,
1552,P7420,?,b,2000,April,Chief Joseph,33F,34M,"Cinnabar Basin, Montana, USA",Chief Joseph,-,N/A,2000,unknown,N/A,unknown,Pup?b7420,,,Yes,No,
1553,P7408,?,?,2000,April,Druid Peak,40F(?),21M,"Lamar Valley, YNP",Druid Peak,-,N/A,2000,unknown,N/A,unknown,Pup Druid Creek,,,Yes,No,
1554,P7409,?,?,2000,April,Druid Peak,40F(?),21M,"Lamar Valley, YNP",Druid Peak,-,N/A,2000,unknown,N/A,unknown,Pup Druid Creek,,,Yes,No,
1555,P7410,?,?,2000,April,Druid Peak,40F(?),21M,"Lamar Valley, YNP",Druid Peak,-,N/A,2000,unknown,N/A,unknown,Pup Druid Creek,,,Yes,No,
1556,P7411,?,?,2000,April,Druid Peak,40F,21M,"Lamar Valley, YNP",Druid Peak,-,N/A,2000,unknown,N/A,unknown,Pup Druid Creek,,,Yes,No,
1557,P7412,?,?,2000,April,Druid Peak,40F,21M,"Lamar Valley, YNP",Druid Peak,-,N/A,2000,unknown,N/A,unknown,Pup Druid Creek,,,Yes,No,
1558,P7413,?,?,2000,April,Druid Peak,40F,21M,"Lamar Valley, YNP",Druid Peak,-,N/A,2000,unknown,N/A,unknown,Pup Druid Creek,,,Yes,No,
1559,P7414,?,?,2000,April,Druid Peak,40F,21M,"Lamar Valley, YNP",Druid Peak,-,N/A,2000,unknown,N/A,unknown,Pup Druid Creek,,,Yes,No,
1560,P7415,?,?,2000,April,Druid Peak,40F,21M,"Lamar Valley, YNP",Druid Peak,-,N/A,2000,unknown,N/A,unknown,Pup Druid Creek,,,Yes,No,
1561,P7416,?,?,2000,April,Druid Peak,40F,21M,"Lamar Valley, YNP",Druid Peak,-,N/A,2000,unknown,N/A,unknown,Pup Druid Creek,,,Yes,No,
1562,P7417,?,?,2000,April,Druid Peak,40F,21M,"Lamar Valley, YNP",Druid Peak,-,2000,N/A,unknown,Unknown,"Lamar Valley, YNP",Pup Druid Creek,,,Yes,No,
1563,P8247,?,b,2000,April,Gros Ventre,137F,29M,Grand Teton National Park Area,Gros Ventre,-,N/A,2003,May,N/A,unknown,Pup?b8247,,,Yes,No,
1564,P8248,?,b,2000,April,Gros Ventre,137F,29M,Grand Teton National Park Area,Gros Ventre,-,N/A,2001,May,N/A,unknown,Pup?b8248,,,Yes,No,
1565,P8249,?,g,2000,April,Gros Ventre,137F,29M,Grand Teton National Park Area,Gros Ventre,-,N/A,2003,May,N/A,unknown,Pup?g8249,,,Yes,No,
1566,P7127,?,?,2000,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,2000,unknown,N/A,unknown,Pup??7127,,,Yes,No,
1567,P7128,?,?,2000,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,2000,unknown,N/A,unknown,Pup??7128,,,Yes,No,
1568,P7129,?,?,2000,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,2000,unknown,N/A,unknown,Pup??7129,,,Yes,No,
1569,P7130,?,?,2000,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,2000,unknown,N/A,unknown,Pup??7130,,,Yes,No,
1570,P7380,?,g,2000,April,Nez Perce,48F,72M,"Madison-Firehole Area, YNP",Nez Perce,-,N/A,2000,unknown,N/A,unknown,Pup?g7380,,,Yes,No,
