Sighting Animal,Sighting Evidence,Sighting Evidence Comment,Sighting Quantity,Sighting Presence,Sighting Evidence of Absence,Sighting Provisions Related,Sighting Evidence of Provision,Sighting Native American Presence,Observation Year,Observation Season,Observation Month,Observation Day,Observer Name,Observer ID,Observer Years,Observer Participation,Observer Point of Origin,Observer Notes,Observer Profession,Observer Official Status,Observer Gender,Observation Location,Observation Comments,Trip Participants,Trip Number Participants,Trip Purpose,Trip Comments,Trip Start Year,Trip Start Month,Trip Start Day,Trip End Year,Trip End Month,Trip End Day,Trip Digital Route Available,Source Document,Source Page,Source Author,Source Date of Publication,Source Title,Source Subtitle,Source Publisher,Source Publisher Location,Source Comments
Deer,general observation,region abounds,More than 500,1,,0,,0,1872,,,0,"Norton, Harry J.",hano,1872,First Hand,regional,,journalist,Non to Official,M,Yellowstone Lake area,,"Harry Norton, James Mills, MH Raymond, PA Largey, Hillhouse Raymond, Frank Woodall, Theodore Fletcher",7,,"Madison River, Geyser Basins, Yellowstone Lake, Canyon, Tower, Mammoth Hot Springs",1872,,0,1872,,0,0,Norton 1873,71,"Norton, Harry",1873,,,,,
Deer,general observation,sportsman's fine amusement,Unknown,1,,0,,0,1872,,,0,"Norton, Harry J.",hano,1872,First Hand,regional,,journalist,Non to Official,M,YNP,,"Harry Norton, James Mills, MH Raymond, PA Largey, Hillhouse Raymond, Frank Woodall, Theodore Fletcher",7,,"Madison River, Geyser Basins, Yellowstone Lake, Canyon, Tower, Mammoth Hot Springs",1872,,0,1872,,0,0,Norton 1873,81,"Norton, Harry",1873,,,,,
Deer,general observation,plenty,100 to 500,1,,0,,0,1875,summer,,0,"Grinnell, George Bird",gbgr,"1875, 1877, 1879",First Hand,continental,,scientist,Official,M,Bottler's Ranch,,"Capt. Ludlow, GB Grinnell",22,information gathering,33 animals,1875,August,9,1875,September,3,0,Grinnell 1972,117,"Grinnell, George Bird",1972,,,,,
Deer,general observation,nearly always in sight when needed,More than 500,1,,0,,0,1872,summer,July,0,"Jackson, William Henry",whja,"1871, 1872, 1878",First Hand,continental,,artist,Official,M,Teton Region,,"Langford, Stevenson, Leigh, Bechler, Medary, Adams, Sibley, Bradley, Carrington, Brown, Hamp, Bottler, Sloane, Bean, Jackson, Merriam",30,Southern Division of Hayden Survey,"Teton Range, southern YNP",1872,July,0,1872,October,0,1,Jackson 1929,132,"Jackson, William Henry",1929,,,,,
Deer,general observation,fine retreats and shelter for deer,Less than 10,1,,0,,0,1872,summer,July,0,"Langford, Nathaniel P.",npla,"1870, 1872",First Hand,regional,,businessman,Official,M,up the Conant Creek drainage,still in Teton Basin,"Langford, Stevenson, Leigh, Bechler, Medary, Adams, Sibley, Bradley, Carrington, Brown, Hamp, Bottler, Sloane, Bean, Jackson, Merriam",30,Southern Division of Hayden Survey,"Teton Range, southern YNP",1872,July,0,1872,October,0,1,Langford 1873b,135,"Langford, Nathaniel P.",1873,,,,,
Deer,general observation,,Unknown,1,,0,,0,1873,,,0,"Stanley, Reverend E.J.",ejst,1873,First Hand,regional,Provided his own observations as well as reported comments of Native American,clergy,Non to Official,M,YNP area,,Rev. Stanley,,,"approached YNP from north, MHS, Tower, Mt Washburn, Canyon, Mary Mtn, geyser basins, Lake, MHS",1873,,0,1873,,0,0,Stanley 1878,142,"Stanley, Reverend E.J.",1878,,,,,
Deer,general observation,found throughout the mountains,Unknown,1,,0,,0,1874,,,0,"Richards, Alonzo V.",avri,1874,First Hand,regional,,civilian official,Official,M,along Madison River,,"WA Richards, Billie, Dick, Roney, Tom Barry, Frank, Ben, Wheaton, AV Richards",,survey West boundary of WY,"Geneva, ID to corner, Bozeman",1874,June,20,1874,September,0,0,Richards 1874,256,Richards,1874,,,,,
Deer,general observation,fine pasture for deer,Unknown,1,,0,,0,1881,,,0,"Brockett, L.P.",lobr,1881,Unknown,continental,,journalist,Non to Official,M,Absaroka Range,,Brockett,,,,1881,,0,1881,,0,0,Brockett 1882,1231,"Brockett, L.P.",1882,,,,,
Deer,general observation,there is some deer,Less than 10,1,,0,,0,1876,summer,September,27,"Leigh, Richard ""Beaver Dick""",rile,"1875, 1876, 1878",First Hand,resident,,trapper,Non to Official,M,4 miles up river,possibly up Henry's Fork,"Richard ""Beaver Dick"" Leigh, Dick Jr",,lives and traps out of Pierre's Hole,,1876,January,1,1876,October,14,0,Leigh 1956,1 to 9,"Leigh, Richard ""Beaver Dick""",1956,,,,,
Deer,general observation,coming down from mountains,Unknown,1,,0,,0,1875,summer,September,21,"Leigh, Richard ""Beaver Dick""",rile,"1875, 1876, 1878",First Hand,resident,,trapper,Non to Official,M,,possibly North Fork of Teton River,"Richard ""Beaver Dick"" Leigh, Dick Jr, Tom Lavering",,lives and traps out of Pierre's Hole,,1875,May,2,1875,November,10,0,Leigh 1956,11 to 18,"Leigh, Richard ""Beaver Dick""",1956,,,,,
Deer,general observation,come down to valleys in winter,Unknown,1,,0,,0,1875,summer,,0,"Strong, General William Emerson",west,1875,First Hand,continental,,military personnel,Official,M,Yellowstone region,,"Gen WE Stong, Sec of War W Belknap, Gen R Marcy, Gen N Sweitzer, Gen J Forsyth, Col G Gillespie, Lt G Doane, R Whitefoot",35,,military dignitaries,1875,July,26,1875,August,13,0,Strong 1968,104 to 107,"Strong, General William Emerson",1968,,,,,
Deer,general observation,hunted and killed in same manner,Unknown,1,,0,,0,1875,summer,,0,"Strong, General William Emerson",west,1875,First Hand,continental,,military personnel,Official,M,Yellowstone region,,"Gen WE Stong, Sec of War W Belknap, Gen R Marcy, Gen N Sweitzer, Gen J Forsyth, Col G Gillespie, Lt G Doane, R Whitefoot",35,,military dignitaries,1875,July,26,1875,August,13,0,Strong 1968,104 to 107,"Strong, General William Emerson",1968,,,,,
Deer,general observation,will be rare to see,Unknown,1,,0,,0,1875,summer,,0,"Strong, General William Emerson",west,1875,First Hand,continental,,military personnel,Official,M,Ellis to Yellowstone Lake,,"Gen WE Stong, Sec of War W Belknap, Gen R Marcy, Gen N Sweitzer, Gen J Forsyth, Col G Gillespie, Lt G Doane, R Whitefoot",35,,military dignitaries,1875,July,26,1875,August,13,0,Strong 1968,104 to 107,"Strong, General William Emerson",1968,,,,,
Deer,general observation,few years till driven off,Unknown,1,,0,,0,1875,summer,,0,"Strong, General William Emerson",west,1875,First Hand,continental,,military personnel,Official,M,YNP,,"Gen WE Stong, Sec of War W Belknap, Gen R Marcy, Gen N Sweitzer, Gen J Forsyth, Col G Gillespie, Lt G Doane, R Whitefoot",35,,military dignitaries,1875,July,26,1875,August,13,0,Strong 1968,104 to 107,"Strong, General William Emerson",1968,,,,,
Deer,general observation,live in seclusion of canyons and hillsides,Unknown,1,,0,,0,1872,summer,July,0,"Jackson, William Henry",whja,"1871, 1872, 1878",First Hand,continental,,artist,Official,M,"above Teton Basin, west side of Teton Range",,"Langford, Stevenson, Leigh, Bechler, Medary, Adams, Sibley, Bradley, Carrington, Brown, Hamp, Bottler, Sloane, Bean, Jackson, Merriam",30,Southern Division of Hayden Survey,"Teton Range, southern YNP",1872,July,0,1872,October,0,1,Jackson 1929,126 to 128,"Jackson, William Henry",1929,,,,,
Deer,general observation,are plentiful,100 to 500,1,,0,,0,1877,summer,August,26,"Gibbon, John",jogi,1872,First Hand,continental,,military personnel,Non to Official,M,East of the Yellowstone River,,Gibbon,,chasing Nez Perce,,1877,August,0,1877,August,0,0,Green 2000,"170 to 171,0431",Green,2000,,,,,
Deer,general observation,supported many,100 to 500,1,,0,,0,1872,summer,,0,"Bradley, Frank",frbr,1872,First Hand,continental,,scientist,Official,M,Snake River Plain,Idaho Falls area,"Langford, Stevenson, Leigh, Bechler, Medary, Adams, Sibley, Bradley, Carrington, Brown, Hamp, Bottler, Sloane, Bean, Jackson, Merriam",30,Southern Division of Hayden Survey,"Teton Range, southern YNP",1872,July,0,1872,October,0,1,Bradley 1873,205 to 206,"Bradley, Frank H.",1873,"FV Hayden, Sixth Annual Report of the US Geological Survey of Montana and portions of the adjacent territories…for the year 1872","Report of Frank H. Bradley, geologist of the Snake River Division. Pgs. 190 to 274",USGPO,Washington,
Deer,general observation,abundantly supplied,More than 500,1,,0,,0,1827,,,,"Campbell, Robert",roca,"1827, 1833",First Hand,continental,,trapper,Non to Official,M,,,"Robert Campbell, Jackson, Sublette",,trapping,,1827,,0,1827,,0,0,Campbell 1991,24 to 25,"Campbell, Robert",1991,,,,,
Deer,general observation,,Unknown,1,,0,,0,1871,summer,,0,"Clawson, Calvin C.",cacl,1871,First Hand,regional,,journalist,Non to Official,M,Red Rock Lakes to Madison River,,"Rossiter W. Raymond, Calvin C. Clawson, AF Thrasher, Eiler, JD Daugherty, Gilman Sawtell",6,tourists,"Virgina City, Madison River, Henry's Lake, Lower Geyser Basin, Yellowstone Lake, West Thumb, Grand Canyon, out west side of present YNP",1871,,0,1871,,0,0,Clawson 2003,46 to 47,"Clawson, Calvin C.",2003,,,,,
Deer,general observation,catching calves,Less than 10,1,,0,,0,1874,spring,May,25,"Horr, Harry R.",haho,"1873, 1874",First Hand,resident,,businessman,Non to Official,M,YNP,resident of Mammoth Hot Springs,Harry R. Horr,,,resident of MHS,1874,,0,1874,,0,0,Horr 1874,,"Horr, Harry R.",1874,,,,,
Deer,general observation,found in abundance,More than 500,1,,0,,0,1874,summer,July,17,Unknown Observer 018,u018,1874,Unknown,,,unknown,,,Bozeman Lake,,"Potts, Sweitzer",,,,1874,,0,1874,,0,0,Avant Courier 1874,,,1874,,,,,
Deer,general observation,,Unknown,1,,0,,0,1875,fall,October,1,"O'Donovan, H.",hodo,1875,First Hand,regional,,unknown,Non to Official,M,Yellowstone Lake,,O'Donovan,1,,,1875,,0,1875,,0,0,O'Donovan 1875,,"O'Donovan, H.",1875,,,,,
Deer,general observation,multiply,Unknown,1,,0,,0,1877,winter,March,8,"Davis, W.A.",wada,1877,First Hand,resident,,unknown,Non to Official,M,Paradise Valley,Six Mile Creek,WA Davis,,,,1877,January,0,1877,March,0,0,Davis 1877b,,"Davis, W.A.",1877,,,,,
Elk,general observation,full,More than 500,1,,0,,0,1872,summer,August,22,"Gray, T. B.",tbgr,1872,First Hand,resident,,scientist,Official,M,Gallatin Canyon,,TB Gray,,survey route through Gallatin Canyon,Gallatin Canyon,1872,,0,1872,,0,0,Gray 1872,2,"Gray, T.B.",1872,,,,,
Elk,general observation,,Unknown,1,,0,,0,1872,,,0,"Hendrie, Edward Beard",ebhe,1872,First Hand,regional,,unknown,Non to Official,M,Yellowstone Lake area,,Edward Hendrie,,,YNP area,1872,,0,1872,,0,0,Hendrie 1931,3,"Hendrie, Edward Beard",1931,,,,,
Elk,general observation,covered,More than 500,1,,0,,0,1873,winter,February,15,Unknown Observer 006,u006,1873,Unknown,,,unknown,,,Yellowstone region,,James McCartney,,,,1873,,0,1873,,0,0,Avant Courier 1873,3,,1873,,,,,
Elk,general observation,favorite winter haunt,Unknown,1,,0,,0,1880,,,0,"Norris, Philetus W.",phno,"1870, 1875, 1877, 1878, 1879, 1880, 1881",First Hand,continental/resident,,civilian official,Official,M,mouth of Soda Butte Creek,,"Norris, Yount",,superintendent,,1880,June,0,1880,November,0,0,Norris 1881a,6,"Norris, Philetus W.",1881,,,,,
Elk,general observation,driven down by storms,Unknown,1,,0,,0,1880,,,0,"Norris, Philetus W.",phno,"1870, 1875, 1877, 1878, 1879, 1880, 1881",First Hand,continental/resident,,civilian official,Official,M,YNP,,"Norris, Yount",,superintendent,,1880,June,0,1880,November,0,0,Norris 1881a,6,"Norris, Philetus W.",1881,,,,,
Elk,general observation,"numerous, driven from trail",More than 500,1,,0,,0,1875,summer,August,9,"Ludlow, Captain William E.",wilu,1875,First Hand,continental,,military personnel,Official,M,along Bridger Creek and land to west,,"Capt. Ludlow, GB Grinnell",22,information gathering,33 animals,1875,August,9,1875,September,3,0,Ludlow 1876,13,"Ludlow, Captain William E.",1876,,,,,
Elk,general observation,fine retreat,Unknown,1,,0,,0,1873,,,0,"Stanley, Reverend E.J.",ejst,1873,First Hand,regional,Provided his own observations as well as reported comments of Native American,clergy,Non to Official,M,Crazy Mountains,,Rev. Stanley,,,"approached YNP from north, MHS, Tower, Mt Washburn, Canyon, Mary Mtn, geyser basins, Lake, MHS",1873,,0,1873,,0,0,Stanley 1878,15,"Stanley, Reverend E.J.",1878,,,,,
Elk,general observation,frequent hot springs to escape bugs,Unknown,1,,0,,0,1872,summer,August,8,"Blackmore, William",wibl,1872,First Hand,international,,hunter,Non to Official,M,West Thumb Geysers,,"Hayden, Savage, Holmes, Bennet, Bottler, Houston, Blackmore, Lowe, Peale, Platt, Brown, Davis, Mounts, Stover, Ticknor, Hamilton, Bingham, Sloane, Smith, Stoner, Gannett, Bean",34,Northern Division of Hayden Survey,Yellowstone NP,1872,July,5,1872,October,5,1,Blackmore 1872:7,16,"Blackmore, William",1872,,,,,
Elk,general observation,may kill an occasional,Less than 10,1,,0,,0,1881,summer,August,0,"Francis, Jr, Francis",frfr,1881,First Hand,international,,journalist,Non to Official,M,YNP,,"Francis, B, Bud, Dick",4,writer,,1881,August,0,1881,August,0,0,Francis 1887,20,"Francis, Jr, Francis",1887,,,,,
